~~~ Starting Training ~~~
Ep.: 60500, Score:   7.68, P_win: 0.78, Tran: 52.60, eps: 0.01, lr: 2.00e-04, pred: 1103.93 min
Ep.: 61000, Score:   7.30, P_win: 0.90, Tran: 49.77, eps: 0.01, lr: 2.00e-04, pred: 1098.39 min
Ep.: 61500, Score:   7.90, P_win: 0.86, Tran: 49.22, eps: 0.01, lr: 2.00e-04, pred: 1092.98 min
Ep.: 62000, Score:   6.98, P_win: 0.81, Tran: 52.79, eps: 0.01, lr: 2.00e-04, pred: 1087.46 min
Ep.: 62500, Score:   6.80, P_win: 0.91, Tran: 48.19, eps: 0.01, lr: 2.00e-04, pred: 1082.00 min
Ep.: 63000, Score:   7.72, P_win: 0.88, Tran: 49.90, eps: 0.01, lr: 2.00e-04, pred: 1076.53 min
Ep.: 63500, Score:   7.56, P_win: 0.84, Tran: 50.85, eps: 0.01, lr: 2.00e-04, pred: 1071.01 min
Ep.: 64000, Score:   7.38, P_win: 0.75, Tran: 53.43, eps: 0.01, lr: 2.00e-04, pred: 1065.51 min
Ep.: 64500, Score:   7.23, P_win: 0.90, Tran: 49.56, eps: 0.01, lr: 2.00e-04, pred: 1060.01 min
Ep.: 65000, Score:   7.60, P_win: 0.89, Tran: 48.33, eps: 0.01, lr: 2.00e-04, pred: 1054.32 min
Ep.: 65500, Score:   7.51, P_win: 0.90, Tran: 49.29, eps: 0.01, lr: 2.00e-04, pred: 1048.50 min
Ep.: 66000, Score:   7.46, P_win: 0.85, Tran: 51.01, eps: 0.01, lr: 2.00e-04, pred: 1042.83 min
Ep.: 66500, Score:   7.17, P_win: 0.84, Tran: 48.15, eps: 0.01, lr: 2.00e-04, pred: 1037.27 min
Ep.: 67000, Score:   7.43, P_win: 0.87, Tran: 51.77, eps: 0.01, lr: 2.00e-04, pred: 1031.57 min
Ep.: 67500, Score:   7.54, P_win: 0.88, Tran: 53.47, eps: 0.01, lr: 2.00e-04, pred: 1025.91 min
Ep.: 68000, Score:   7.49, P_win: 0.91, Tran: 47.34, eps: 0.01, lr: 2.00e-04, pred: 1020.35 min
Ep.: 68500, Score:   7.64, P_win: 0.87, Tran: 47.98, eps: 0.01, lr: 2.00e-04, pred: 1014.81 min
Ep.: 69000, Score:   7.30, P_win: 0.83, Tran: 48.85, eps: 0.01, lr: 2.00e-04, pred: 1008.95 min
Ep.: 69500, Score:   7.78, P_win: 0.84, Tran: 47.91, eps: 0.01, lr: 2.00e-04, pred: 1003.17 min
Ep.: 70000, Score:   7.48, P_win: 0.88, Tran: 47.19, eps: 0.01, lr: 2.00e-04, pred: 997.34 min
Ep.: 70500, Score:   6.94, P_win: 0.86, Tran: 46.80, eps: 0.01, lr: 2.00e-04, pred: 991.48 min
Ep.: 71000, Score:   7.29, P_win: 0.83, Tran: 50.42, eps: 0.01, lr: 2.00e-04, pred: 985.61 min
Ep.: 71500, Score:   7.16, P_win: 0.88, Tran: 44.73, eps: 0.01, lr: 2.00e-04, pred: 979.84 min
Ep.: 72000, Score:   6.96, P_win: 0.82, Tran: 51.20, eps: 0.01, lr: 2.00e-04, pred: 974.06 min
Ep.: 72500, Score:   7.26, P_win: 0.87, Tran: 49.25, eps: 0.01, lr: 2.00e-04, pred: 968.33 min
Ep.: 73000, Score:   7.66, P_win: 0.85, Tran: 48.00, eps: 0.01, lr: 2.00e-04, pred: 962.73 min
Ep.: 73500, Score:   6.42, P_win: 0.84, Tran: 49.35, eps: 0.01, lr: 2.00e-04, pred: 957.17 min
Ep.: 74000, Score:   7.36, P_win: 0.86, Tran: 48.32, eps: 0.00, lr: 2.00e-04, pred: 951.50 min
Ep.: 74500, Score:   7.52, P_win: 0.85, Tran: 49.56, eps: 0.00, lr: 2.00e-04, pred: 945.87 min
Ep.: 75000, Score:   8.02, P_win: 0.84, Tran: 48.02, eps: 0.00, lr: 2.00e-04, pred: 940.26 min
Ep.: 75500, Score:   7.24, P_win: 0.84, Tran: 48.93, eps: 0.00, lr: 2.00e-04, pred: 934.54 min
Ep.: 76000, Score:   7.48, P_win: 0.85, Tran: 49.22, eps: 0.00, lr: 2.00e-04, pred: 928.90 min
Ep.: 76500, Score:   7.62, P_win: 0.83, Tran: 48.18, eps: 0.00, lr: 2.00e-04, pred: 923.11 min
Ep.: 77000, Score:   7.20, P_win: 0.89, Tran: 47.50, eps: 0.00, lr: 2.00e-04, pred: 917.12 min
Ep.: 77500, Score:   7.79, P_win: 0.86, Tran: 46.47, eps: 0.00, lr: 2.00e-04, pred: 911.38 min
Ep.: 78000, Score:   7.74, P_win: 0.93, Tran: 47.84, eps: 0.00, lr: 2.00e-04, pred: 905.72 min
Ep.: 78500, Score:   7.12, P_win: 0.82, Tran: 51.30, eps: 0.00, lr: 2.00e-04, pred: 899.93 min
Ep.: 79000, Score:   7.21, P_win: 0.88, Tran: 48.60, eps: 0.00, lr: 2.00e-04, pred: 894.10 min
Ep.: 79500, Score:   7.42, P_win: 0.80, Tran: 50.02, eps: 0.00, lr: 2.00e-04, pred: 888.20 min
Ep.: 80000, Score:   7.28, P_win: 0.88, Tran: 47.73, eps: 0.00, lr: 2.00e-04, pred: 882.19 min
Ep.: 80500, Score:   7.48, P_win: 0.87, Tran: 47.46, eps: 0.00, lr: 2.00e-04, pred: 876.25 min
Ep.: 81000, Score:   7.60, P_win: 0.91, Tran: 46.76, eps: 0.00, lr: 2.00e-04, pred: 870.13 min
Ep.: 81500, Score:   7.84, P_win: 0.88, Tran: 47.41, eps: 0.00, lr: 2.00e-04, pred: 864.27 min
Ep.: 82000, Score:   7.85, P_win: 0.82, Tran: 48.59, eps: 0.00, lr: 2.00e-04, pred: 858.29 min
Ep.: 82500, Score:   7.49, P_win: 0.91, Tran: 43.94, eps: 0.00, lr: 2.00e-04, pred: 852.28 min
Ep.: 83000, Score:   7.41, P_win: 0.90, Tran: 46.23, eps: 0.00, lr: 2.00e-04, pred: 846.20 min
Ep.: 83500, Score:   7.56, P_win: 0.85, Tran: 47.71, eps: 0.00, lr: 2.00e-04, pred: 840.24 min
Ep.: 84000, Score:   7.72, P_win: 0.85, Tran: 45.68, eps: 0.00, lr: 2.00e-04, pred: 834.30 min
Ep.: 84500, Score:   7.44, P_win: 0.90, Tran: 48.07, eps: 0.00, lr: 2.00e-04, pred: 828.43 min
Ep.: 85000, Score:   7.34, P_win: 0.92, Tran: 44.82, eps: 0.00, lr: 2.00e-04, pred: 822.47 min
Ep.: 85500, Score:   7.33, P_win: 0.85, Tran: 50.70, eps: 0.00, lr: 2.00e-04, pred: 816.46 min
Ep.: 86000, Score:   7.48, P_win: 0.87, Tran: 48.67, eps: 0.00, lr: 2.00e-04, pred: 810.51 min
Ep.: 86500, Score:   7.95, P_win: 0.91, Tran: 49.18, eps: 0.00, lr: 2.00e-04, pred: 804.54 min
Ep.: 87000, Score:   7.44, P_win: 0.85, Tran: 51.20, eps: 0.00, lr: 2.00e-04, pred: 798.47 min
Ep.: 87500, Score:   7.41, P_win: 0.92, Tran: 48.23, eps: 0.00, lr: 2.00e-04, pred: 792.45 min
Ep.: 88000, Score:   7.60, P_win: 0.90, Tran: 44.99, eps: 0.00, lr: 2.00e-04, pred: 786.49 min
