~~~ Starting Training ~~~
Ep.:   500, Score:  -7.01, P_win: 0.20, Tran: 80.84, eps: 0.20, lr: 2.00e-04, pred: 209.79 min
Ep.:  1000, Score:  -4.05, P_win: 0.18, Tran: 77.73, eps: 0.19, lr: 2.00e-04, pred: 209.89 min
Ep.:  1500, Score:  -3.88, P_win: 0.07, Tran: 84.66, eps: 0.19, lr: 2.00e-04, pred: 211.47 min
Ep.:  2000, Score:  -3.75, P_win: 0.15, Tran: 81.51, eps: 0.18, lr: 2.00e-04, pred: 210.01 min
Ep.:  2500, Score:  -2.98, P_win: 0.18, Tran: 83.38, eps: 0.18, lr: 2.00e-04, pred: 206.96 min
Ep.:  3000, Score:  -2.66, P_win: 0.13, Tran: 86.51, eps: 0.17, lr: 2.00e-04, pred: 203.88 min
Ep.:  3500, Score:  -2.99, P_win: 0.22, Tran: 79.51, eps: 0.17, lr: 2.00e-04, pred: 200.13 min
Ep.:  4000, Score:  -3.00, P_win: 0.15, Tran: 86.33, eps: 0.16, lr: 2.00e-04, pred: 196.62 min
Ep.:  4500, Score:  -1.77, P_win: 0.23, Tran: 75.01, eps: 0.16, lr: 2.00e-04, pred: 193.30 min
Ep.:  5000, Score:  -1.45, P_win: 0.26, Tran: 81.84, eps: 0.16, lr: 2.00e-04, pred: 189.79 min
Ep.:  5500, Score:  -1.08, P_win: 0.24, Tran: 81.05, eps: 0.15, lr: 2.00e-04, pred: 186.28 min
Ep.:  6000, Score:  -0.66, P_win: 0.21, Tran: 81.30, eps: 0.15, lr: 2.00e-04, pred: 182.41 min
Ep.:  6500, Score:  -0.70, P_win: 0.35, Tran: 79.47, eps: 0.14, lr: 2.00e-04, pred: 178.57 min
Ep.:  7000, Score:  -0.26, P_win: 0.32, Tran: 78.72, eps: 0.14, lr: 2.00e-04, pred: 174.87 min
Ep.:  7500, Score:  -0.02, P_win: 0.36, Tran: 76.60, eps: 0.14, lr: 2.00e-04, pred: 171.07 min
Ep.:  8000, Score:  -0.07, P_win: 0.35, Tran: 79.13, eps: 0.13, lr: 2.00e-04, pred: 167.28 min
Ep.:  8500, Score:  -0.34, P_win: 0.32, Tran: 74.24, eps: 0.13, lr: 2.00e-04, pred: 163.55 min
Ep.:  9000, Score:  -0.48, P_win: 0.37, Tran: 74.37, eps: 0.13, lr: 2.00e-04, pred: 159.75 min
Ep.:  9500, Score:   0.69, P_win: 0.41, Tran: 73.79, eps: 0.12, lr: 2.00e-04, pred: 155.85 min
Ep.: 10000, Score:   0.76, P_win: 0.33, Tran: 81.43, eps: 0.12, lr: 2.00e-04, pred: 151.98 min
Ep.: 10500, Score:   0.99, P_win: 0.46, Tran: 68.37, eps: 0.12, lr: 2.00e-04, pred: 148.17 min
Ep.: 11000, Score:   0.69, P_win: 0.34, Tran: 79.85, eps: 0.12, lr: 2.00e-04, pred: 144.41 min
