~~~ Starting Training ~~~
Ep.: 21000, Score:   4.89, P_win: 0.72, Tran: 59.03, eps: 0.07, lr: 1.00e-04, pred: 91.42 min
Ep.: 21500, Score:   5.29, P_win: 0.75, Tran: 60.56, eps: 0.07, lr: 1.00e-04, pred: 86.28 min
Ep.: 22000, Score:   5.74, P_win: 0.69, Tran: 61.82, eps: 0.07, lr: 1.00e-04, pred: 81.14 min
Ep.: 22500, Score:   4.48, P_win: 0.71, Tran: 64.23, eps: 0.06, lr: 1.00e-04, pred: 76.02 min
Ep.: 23000, Score:   4.64, P_win: 0.80, Tran: 59.84, eps: 0.06, lr: 1.00e-04, pred: 70.93 min
Ep.: 23500, Score:   5.07, P_win: 0.76, Tran: 58.80, eps: 0.06, lr: 1.00e-04, pred: 65.81 min
Ep.: 24000, Score:   4.78, P_win: 0.66, Tran: 64.46, eps: 0.06, lr: 1.00e-04, pred: 60.71 min
Ep.: 24500, Score:   4.77, P_win: 0.78, Tran: 59.82, eps: 0.06, lr: 1.00e-04, pred: 55.62 min
Ep.: 25000, Score:   5.32, P_win: 0.73, Tran: 58.23, eps: 0.06, lr: 1.00e-04, pred: 50.54 min
Ep.: 25500, Score:   5.83, P_win: 0.86, Tran: 54.95, eps: 0.06, lr: 5.00e-05, pred: 45.45 min
Ep.: 26000, Score:   5.58, P_win: 0.71, Tran: 59.71, eps: 0.05, lr: 5.00e-05, pred: 40.36 min
Ep.: 26500, Score:   5.19, P_win: 0.76, Tran: 59.13, eps: 0.05, lr: 5.00e-05, pred: 35.28 min
Ep.: 27000, Score:   5.59, P_win: 0.76, Tran: 60.86, eps: 0.05, lr: 5.00e-05, pred: 30.22 min
Ep.: 27500, Score:   6.04, P_win: 0.81, Tran: 56.33, eps: 0.05, lr: 5.00e-05, pred: 25.16 min
Ep.: 28000, Score:   6.17, P_win: 0.74, Tran: 58.70, eps: 0.05, lr: 5.00e-05, pred: 20.11 min
Ep.: 28500, Score:   5.67, P_win: 0.79, Tran: 56.67, eps: 0.05, lr: 5.00e-05, pred: 15.08 min
Ep.: 29000, Score:   5.88, P_win: 0.74, Tran: 59.92, eps: 0.05, lr: 5.00e-05, pred: 10.04 min
Ep.: 29500, Score:   5.61, P_win: 0.86, Tran: 54.25, eps: 0.05, lr: 5.00e-05, pred:  5.01 min
~~~ Training Complete ~~~
~~~ Starting Training ~~~
Ep.:     0, Score: -11.48, P_win: 0.01, Tran: 83.90, eps: 0.20, lr: 2.00e-04, pred: 4802.56 min
Ep.:   500, Score:  -6.32, P_win: 0.13, Tran: 83.37, eps: 0.20, lr: 2.00e-04, pred: 332.46 min
Ep.:  1000, Score:  -3.94, P_win: 0.20, Tran: 78.31, eps: 0.19, lr: 2.00e-04, pred: 328.48 min
Ep.:  1500, Score:  -2.91, P_win: 0.14, Tran: 85.50, eps: 0.19, lr: 2.00e-04, pred: 325.70 min
Ep.:  2000, Score:  -3.00, P_win: 0.14, Tran: 84.90, eps: 0.18, lr: 2.00e-04, pred: 322.18 min
Ep.:  2500, Score:  -2.52, P_win: 0.13, Tran: 83.41, eps: 0.18, lr: 2.00e-04, pred: 318.50 min
Ep.:  3000, Score:  -3.18, P_win: 0.13, Tran: 87.59, eps: 0.17, lr: 2.00e-04, pred: 313.84 min
Ep.:  3500, Score:  -2.52, P_win: 0.15, Tran: 86.94, eps: 0.17, lr: 2.00e-04, pred: 309.29 min
Ep.:  4000, Score:  -2.55, P_win: 0.18, Tran: 84.40, eps: 0.16, lr: 2.00e-04, pred: 304.36 min
Ep.:  4500, Score:  -1.47, P_win: 0.16, Tran: 81.26, eps: 0.16, lr: 2.00e-04, pred: 298.94 min
Ep.:  5000, Score:  -2.27, P_win: 0.13, Tran: 87.95, eps: 0.16, lr: 2.00e-04, pred: 293.60 min
Ep.:  5500, Score:  -2.37, P_win: 0.20, Tran: 82.39, eps: 0.15, lr: 2.00e-04, pred: 288.23 min
Ep.:  6000, Score:  -1.63, P_win: 0.23, Tran: 82.59, eps: 0.15, lr: 2.00e-04, pred: 282.67 min
Ep.:  6500, Score:  -0.53, P_win: 0.26, Tran: 77.53, eps: 0.14, lr: 2.00e-04, pred: 277.11 min
Ep.:  7000, Score:  -1.07, P_win: 0.36, Tran: 74.24, eps: 0.14, lr: 2.00e-04, pred: 271.39 min
Ep.:  7500, Score:  -0.41, P_win: 0.32, Tran: 77.23, eps: 0.14, lr: 2.00e-04, pred: 265.80 min
Ep.:  8000, Score:  -0.99, P_win: 0.33, Tran: 76.58, eps: 0.13, lr: 2.00e-04, pred: 260.04 min
Ep.:  8500, Score:  -0.14, P_win: 0.23, Tran: 81.19, eps: 0.13, lr: 2.00e-04, pred: 254.45 min
Ep.:  9000, Score:   0.36, P_win: 0.36, Tran: 77.19, eps: 0.13, lr: 2.00e-04, pred: 248.82 min
Ep.:  9500, Score:   0.41, P_win: 0.44, Tran: 72.26, eps: 0.12, lr: 2.00e-04, pred: 243.06 min
Ep.: 10000, Score:   1.36, P_win: 0.43, Tran: 74.76, eps: 0.12, lr: 2.00e-04, pred: 237.28 min
Ep.: 10500, Score:   0.68, P_win: 0.48, Tran: 73.95, eps: 0.12, lr: 2.00e-04, pred: 231.59 min
Ep.: 11000, Score:   1.84, P_win: 0.33, Tran: 80.62, eps: 0.12, lr: 2.00e-04, pred: 225.84 min
Ep.: 11500, Score:   1.87, P_win: 0.59, Tran: 62.59, eps: 0.11, lr: 2.00e-04, pred: 220.07 min
Ep.: 12000, Score:   2.07, P_win: 0.60, Tran: 66.57, eps: 0.11, lr: 2.00e-04, pred: 214.24 min
Ep.: 12500, Score:   2.59, P_win: 0.45, Tran: 76.35, eps: 0.11, lr: 2.00e-04, pred: 208.44 min
Ep.: 13000, Score:   2.88, P_win: 0.65, Tran: 64.69, eps: 0.10, lr: 2.00e-04, pred: 202.56 min
Ep.: 13500, Score:   2.94, P_win: 0.51, Tran: 73.72, eps: 0.10, lr: 2.00e-04, pred: 196.74 min
Ep.: 14000, Score:   4.07, P_win: 0.72, Tran: 59.54, eps: 0.10, lr: 2.00e-04, pred: 190.85 min
Ep.: 14500, Score:   4.04, P_win: 0.66, Tran: 69.47, eps: 0.10, lr: 2.00e-04, pred: 184.94 min
Ep.: 15000, Score:   4.01, P_win: 0.71, Tran: 65.90, eps: 0.09, lr: 2.00e-04, pred: 179.04 min
Ep.: 15500, Score:   4.51, P_win: 0.75, Tran: 63.51, eps: 0.09, lr: 1.00e-04, pred: 172.63 min
Ep.: 16000, Score:   5.33, P_win: 0.73, Tran: 63.70, eps: 0.09, lr: 1.00e-04, pred: 166.31 min
Ep.: 16500, Score:   5.34, P_win: 0.77, Tran: 59.10, eps: 0.09, lr: 1.00e-04, pred: 160.00 min
Ep.: 17000, Score:   5.97, P_win: 0.73, Tran: 61.63, eps: 0.09, lr: 1.00e-04, pred: 153.77 min
