~~~ Starting Training ~~~
Ep.:  7500, Score:  -2.62, P_win: 0.19, Tran: 79.91, eps: 0.14, lr: 2.00e-04, pred: 337.05 min
Ep.:  8000, Score:  -0.92, P_win: 0.22, Tran: 81.17, eps: 0.13, lr: 2.00e-04, pred: 333.14 min
Ep.:  8500, Score:  -0.68, P_win: 0.31, Tran: 80.36, eps: 0.13, lr: 2.00e-04, pred: 328.98 min
Ep.:  9000, Score:  -0.82, P_win: 0.32, Tran: 78.93, eps: 0.13, lr: 2.00e-04, pred: 324.33 min
Ep.:  9500, Score:  -0.78, P_win: 0.33, Tran: 74.57, eps: 0.12, lr: 2.00e-04, pred: 319.19 min
Ep.: 10000, Score:  -1.41, P_win: 0.34, Tran: 76.93, eps: 0.12, lr: 2.00e-04, pred: 314.14 min
Ep.: 10500, Score:  -0.50, P_win: 0.33, Tran: 75.47, eps: 0.12, lr: 2.00e-04, pred: 308.62 min
Ep.: 11000, Score:  -0.19, P_win: 0.36, Tran: 72.64, eps: 0.12, lr: 2.00e-04, pred: 302.90 min
Ep.: 11500, Score:   0.64, P_win: 0.45, Tran: 71.77, eps: 0.11, lr: 2.00e-04, pred: 296.92 min
Ep.: 12000, Score:  -0.66, P_win: 0.33, Tran: 77.04, eps: 0.11, lr: 2.00e-04, pred: 290.86 min
Ep.: 12500, Score:   0.50, P_win: 0.47, Tran: 74.10, eps: 0.11, lr: 2.00e-04, pred: 284.46 min
Ep.: 13000, Score:  -0.25, P_win: 0.37, Tran: 73.09, eps: 0.10, lr: 2.00e-04, pred: 277.86 min
Ep.: 13500, Score:   0.55, P_win: 0.47, Tran: 67.98, eps: 0.10, lr: 2.00e-04, pred: 271.06 min
Ep.: 14000, Score:  -0.72, P_win: 0.34, Tran: 71.54, eps: 0.10, lr: 2.00e-04, pred: 264.21 min
Ep.: 14500, Score:  -0.46, P_win: 0.23, Tran: 87.66, eps: 0.10, lr: 2.00e-04, pred: 257.30 min
Ep.: 15000, Score:   0.22, P_win: 0.30, Tran: 79.14, eps: 0.09, lr: 2.00e-04, pred: 250.15 min
Ep.: 15500, Score:   1.00, P_win: 0.45, Tran: 69.13, eps: 0.09, lr: 1.00e-04, pred: 240.55 min
Ep.: 16000, Score:   1.01, P_win: 0.35, Tran: 73.19, eps: 0.09, lr: 1.00e-04, pred: 231.14 min
Ep.: 16500, Score:   0.39, P_win: 0.45, Tran: 82.82, eps: 0.09, lr: 1.00e-04, pred: 221.97 min
Ep.: 17000, Score:   1.14, P_win: 0.44, Tran: 75.07, eps: 0.09, lr: 1.00e-04, pred: 212.89 min
Ep.: 17500, Score:   2.00, P_win: 0.55, Tran: 66.78, eps: 0.08, lr: 1.00e-04, pred: 203.89 min
Ep.: 18000, Score:   1.65, P_win: 0.53, Tran: 69.20, eps: 0.08, lr: 1.00e-04, pred: 195.01 min
Ep.: 18500, Score:   2.36, P_win: 0.47, Tran: 71.39, eps: 0.08, lr: 1.00e-04, pred: 186.21 min
Ep.: 19000, Score:   2.70, P_win: 0.51, Tran: 68.43, eps: 0.08, lr: 1.00e-04, pred: 177.50 min
Ep.: 19500, Score:   1.51, P_win: 0.47, Tran: 70.81, eps: 0.08, lr: 1.00e-04, pred: 168.89 min
Ep.: 20000, Score:   2.68, P_win: 0.58, Tran: 68.86, eps: 0.07, lr: 1.00e-04, pred: 160.33 min
Ep.: 20500, Score:   2.75, P_win: 0.52, Tran: 71.27, eps: 0.07, lr: 1.00e-04, pred: 151.88 min
Ep.: 21000, Score:   1.85, P_win: 0.46, Tran: 76.33, eps: 0.07, lr: 1.00e-04, pred: 143.50 min
Ep.: 21500, Score:   2.36, P_win: 0.58, Tran: 68.83, eps: 0.07, lr: 1.00e-04, pred: 135.15 min
Ep.: 22000, Score:   1.80, P_win: 0.50, Tran: 69.29, eps: 0.07, lr: 1.00e-04, pred: 126.90 min
Ep.: 22500, Score:   2.64, P_win: 0.49, Tran: 74.31, eps: 0.06, lr: 1.00e-04, pred: 118.69 min
Ep.: 23000, Score:   2.16, P_win: 0.51, Tran: 70.59, eps: 0.06, lr: 1.00e-04, pred: 110.54 min
Ep.: 23500, Score:   3.43, P_win: 0.60, Tran: 70.42, eps: 0.06, lr: 1.00e-04, pred: 102.43 min
Ep.: 24000, Score:   3.91, P_win: 0.52, Tran: 72.24, eps: 0.06, lr: 1.00e-04, pred: 94.34 min
Ep.: 24500, Score:   3.52, P_win: 0.50, Tran: 73.32, eps: 0.06, lr: 1.00e-04, pred: 86.31 min
Ep.: 25000, Score:   3.34, P_win: 0.42, Tran: 75.83, eps: 0.06, lr: 1.00e-04, pred: 78.33 min
Ep.: 25500, Score:   3.88, P_win: 0.63, Tran: 64.96, eps: 0.06, lr: 5.00e-05, pred: 70.34 min
Ep.: 26000, Score:   4.14, P_win: 0.50, Tran: 69.34, eps: 0.05, lr: 5.00e-05, pred: 62.38 min
Ep.: 26500, Score:   3.30, P_win: 0.58, Tran: 70.08, eps: 0.05, lr: 5.00e-05, pred: 54.48 min
Ep.: 27000, Score:   3.90, P_win: 0.64, Tran: 64.91, eps: 0.05, lr: 5.00e-05, pred: 46.60 min
Ep.: 27500, Score:   4.32, P_win: 0.69, Tran: 60.40, eps: 0.05, lr: 5.00e-05, pred: 38.75 min
Ep.: 28000, Score:   5.25, P_win: 0.67, Tran: 64.78, eps: 0.05, lr: 5.00e-05, pred: 30.94 min
Ep.: 28500, Score:   4.96, P_win: 0.62, Tran: 66.23, eps: 0.05, lr: 5.00e-05, pred: 23.16 min
Ep.: 29000, Score:   5.52, P_win: 0.66, Tran: 65.52, eps: 0.05, lr: 5.00e-05, pred: 15.41 min
Ep.: 29500, Score:   5.96, P_win: 0.76, Tran: 62.35, eps: 0.05, lr: 5.00e-05, pred:  7.68 min
~~~ Training Complete ~~~
~~~ Starting Training ~~~
Ep.:     0, Score:  -3.20, P_win: 0.04, Tran: 89.84, eps: 0.20, lr: 2.00e-04, pred: 7394.56 min
Ep.:   500, Score:  -6.11, P_win: 0.21, Tran: 83.03, eps: 0.20, lr: 2.00e-04, pred: 303.67 min
Ep.:  1000, Score:  -3.97, P_win: 0.16, Tran: 82.73, eps: 0.19, lr: 2.00e-04, pred: 299.04 min
Ep.:  1500, Score:  -3.40, P_win: 0.15, Tran: 85.44, eps: 0.19, lr: 2.00e-04, pred: 296.34 min
Ep.:  2000, Score:  -3.71, P_win: 0.11, Tran: 82.24, eps: 0.18, lr: 2.00e-04, pred: 293.20 min
Ep.:  2500, Score:  -3.15, P_win: 0.10, Tran: 76.68, eps: 0.18, lr: 2.00e-04, pred: 288.46 min
Ep.:  3000, Score:  -3.82, P_win: 0.16, Tran: 79.85, eps: 0.17, lr: 2.00e-04, pred: 283.46 min
Ep.:  3500, Score:  -3.26, P_win: 0.12, Tran: 85.00, eps: 0.17, lr: 2.00e-04, pred: 278.87 min
Ep.:  4000, Score:  -2.64, P_win: 0.24, Tran: 81.04, eps: 0.16, lr: 2.00e-04, pred: 274.16 min
Ep.:  4500, Score:  -3.15, P_win: 0.18, Tran: 75.70, eps: 0.16, lr: 2.00e-04, pred: 269.70 min
Ep.:  5000, Score:  -3.02, P_win: 0.18, Tran: 83.13, eps: 0.16, lr: 2.00e-04, pred: 265.04 min
Ep.:  5500, Score:  -2.62, P_win: 0.12, Tran: 82.74, eps: 0.15, lr: 2.00e-04, pred: 260.56 min
Ep.:  6000, Score:  -2.66, P_win: 0.24, Tran: 79.05, eps: 0.15, lr: 2.00e-04, pred: 256.34 min
Ep.:  6500, Score:  -2.46, P_win: 0.20, Tran: 78.89, eps: 0.14, lr: 2.00e-04, pred: 252.45 min
Ep.:  7000, Score:  -2.03, P_win: 0.27, Tran: 82.81, eps: 0.14, lr: 2.00e-04, pred: 249.38 min
Ep.:  7500, Score:  -0.96, P_win: 0.40, Tran: 73.96, eps: 0.14, lr: 2.00e-04, pred: 247.00 min
Ep.:  8000, Score:  -1.16, P_win: 0.35, Tran: 73.46, eps: 0.13, lr: 2.00e-04, pred: 244.39 min
Ep.:  8500, Score:  -1.06, P_win: 0.20, Tran: 83.36, eps: 0.13, lr: 2.00e-04, pred: 241.59 min
Ep.:  9000, Score:  -0.67, P_win: 0.22, Tran: 82.08, eps: 0.13, lr: 2.00e-04, pred: 238.60 min
Ep.:  9500, Score:  -1.08, P_win: 0.19, Tran: 83.13, eps: 0.12, lr: 2.00e-04, pred: 235.27 min
Ep.: 10000, Score:  -1.13, P_win: 0.40, Tran: 71.88, eps: 0.12, lr: 2.00e-04, pred: 231.66 min
Ep.: 10500, Score:  -0.93, P_win: 0.28, Tran: 74.77, eps: 0.12, lr: 2.00e-04, pred: 227.83 min
Ep.: 11000, Score:  -1.30, P_win: 0.40, Tran: 78.21, eps: 0.12, lr: 2.00e-04, pred: 223.87 min
Ep.: 11500, Score:   0.44, P_win: 0.20, Tran: 87.08, eps: 0.11, lr: 2.00e-04, pred: 219.66 min
Ep.: 12000, Score:   0.57, P_win: 0.51, Tran: 69.94, eps: 0.11, lr: 2.00e-04, pred: 215.19 min
Ep.: 12500, Score:   0.00, P_win: 0.36, Tran: 75.46, eps: 0.11, lr: 2.00e-04, pred: 210.61 min
Ep.: 13000, Score:   0.80, P_win: 0.54, Tran: 67.19, eps: 0.10, lr: 2.00e-04, pred: 205.77 min
Ep.: 13500, Score:   0.57, P_win: 0.38, Tran: 76.52, eps: 0.10, lr: 2.00e-04, pred: 200.90 min
Ep.: 14000, Score:   0.58, P_win: 0.51, Tran: 78.34, eps: 0.10, lr: 2.00e-04, pred: 196.03 min
Ep.: 14500, Score:   1.13, P_win: 0.52, Tran: 68.00, eps: 0.10, lr: 2.00e-04, pred: 190.92 min
Ep.: 15000, Score:   1.84, P_win: 0.52, Tran: 70.82, eps: 0.09, lr: 2.00e-04, pred: 185.64 min
Ep.: 15500, Score:   2.36, P_win: 0.67, Tran: 57.50, eps: 0.09, lr: 1.00e-04, pred: 178.33 min
Ep.: 16000, Score:   3.34, P_win: 0.72, Tran: 63.82, eps: 0.09, lr: 1.00e-04, pred: 171.16 min
Ep.: 16500, Score:   3.71, P_win: 0.67, Tran: 60.16, eps: 0.09, lr: 1.00e-04, pred: 164.10 min
Ep.: 17000, Score:   3.99, P_win: 0.63, Tran: 66.04, eps: 0.09, lr: 1.00e-04, pred: 157.17 min
Ep.: 17500, Score:   3.98, P_win: 0.72, Tran: 64.03, eps: 0.08, lr: 1.00e-04, pred: 150.37 min
Ep.: 18000, Score:   3.78, P_win: 0.67, Tran: 66.08, eps: 0.08, lr: 1.00e-04, pred: 143.72 min
Ep.: 18500, Score:   4.64, P_win: 0.84, Tran: 53.84, eps: 0.08, lr: 1.00e-04, pred: 137.07 min
Ep.: 19000, Score:   5.10, P_win: 0.61, Tran: 61.79, eps: 0.08, lr: 1.00e-04, pred: 130.51 min
Ep.: 19500, Score:   5.67, P_win: 0.82, Tran: 57.04, eps: 0.08, lr: 1.00e-04, pred: 124.04 min
Ep.: 20000, Score:   5.90, P_win: 0.82, Tran: 55.22, eps: 0.07, lr: 1.00e-04, pred: 117.63 min
Ep.: 20500, Score:   5.18, P_win: 0.85, Tran: 55.17, eps: 0.07, lr: 1.00e-04, pred: 111.31 min
Ep.: 21000, Score:   5.77, P_win: 0.82, Tran: 57.10, eps: 0.07, lr: 1.00e-04, pred: 105.05 min
Ep.: 21500, Score:   5.35, P_win: 0.81, Tran: 54.52, eps: 0.07, lr: 1.00e-04, pred: 98.85 min
Ep.: 22000, Score:   6.13, P_win: 0.83, Tran: 57.44, eps: 0.07, lr: 1.00e-04, pred: 92.71 min
