~~~ Starting Training ~~~
Ep.: 41500, Score:   5.33, P_win: 0.71, Tran: 58.92, eps: 0.03, lr: 2.00e-04, pred: 403.26 min
Ep.: 42000, Score:   5.58, P_win: 0.72, Tran: 57.65, eps: 0.02, lr: 2.00e-04, pred: 400.01 min
Ep.: 42500, Score:   5.88, P_win: 0.70, Tran: 58.12, eps: 0.02, lr: 2.00e-04, pred: 396.74 min
Ep.: 43000, Score:   5.81, P_win: 0.78, Tran: 57.15, eps: 0.02, lr: 2.00e-04, pred: 393.58 min
Ep.: 43500, Score:   5.40, P_win: 0.80, Tran: 53.25, eps: 0.02, lr: 2.00e-04, pred: 390.29 min
Ep.: 44000, Score:   5.41, P_win: 0.69, Tran: 59.86, eps: 0.02, lr: 2.00e-04, pred: 387.07 min
Ep.: 44500, Score:   6.24, P_win: 0.71, Tran: 58.51, eps: 0.02, lr: 2.00e-04, pred: 383.88 min
Ep.: 45000, Score:   5.86, P_win: 0.66, Tran: 61.10, eps: 0.02, lr: 2.00e-04, pred: 380.59 min
Ep.: 45500, Score:   5.67, P_win: 0.74, Tran: 59.78, eps: 0.02, lr: 2.00e-04, pred: 377.30 min
Ep.: 46000, Score:   5.80, P_win: 0.68, Tran: 58.64, eps: 0.02, lr: 2.00e-04, pred: 374.08 min
Ep.: 46500, Score:   5.97, P_win: 0.76, Tran: 57.27, eps: 0.02, lr: 2.00e-04, pred: 370.71 min
Ep.: 47000, Score:   6.16, P_win: 0.70, Tran: 56.61, eps: 0.02, lr: 2.00e-04, pred: 367.47 min
Ep.: 47500, Score:   5.55, P_win: 0.65, Tran: 62.23, eps: 0.02, lr: 2.00e-04, pred: 364.12 min
Ep.: 48000, Score:   5.62, P_win: 0.75, Tran: 57.25, eps: 0.02, lr: 2.00e-04, pred: 360.77 min
Ep.: 48500, Score:   5.39, P_win: 0.81, Tran: 56.10, eps: 0.02, lr: 2.00e-04, pred: 357.61 min
Ep.: 49000, Score:   5.97, P_win: 0.75, Tran: 58.21, eps: 0.02, lr: 2.00e-04, pred: 354.31 min
Ep.: 49500, Score:   5.64, P_win: 0.79, Tran: 56.43, eps: 0.02, lr: 2.00e-04, pred: 351.02 min
Ep.: 50000, Score:   5.44, P_win: 0.78, Tran: 56.00, eps: 0.02, lr: 2.00e-04, pred: 347.87 min
Ep.: 50500, Score:   6.54, P_win: 0.74, Tran: 56.41, eps: 0.02, lr: 2.00e-04, pred: 344.52 min
Ep.: 51000, Score:   5.70, P_win: 0.75, Tran: 57.89, eps: 0.02, lr: 2.00e-04, pred: 341.19 min
Ep.: 51500, Score:   6.35, P_win: 0.72, Tran: 57.45, eps: 0.02, lr: 2.00e-04, pred: 337.96 min
Ep.: 52000, Score:   6.16, P_win: 0.81, Tran: 55.30, eps: 0.01, lr: 2.00e-04, pred: 334.65 min
Ep.: 52500, Score:   6.26, P_win: 0.82, Tran: 52.63, eps: 0.01, lr: 2.00e-04, pred: 331.27 min
Ep.: 53000, Score:   5.98, P_win: 0.73, Tran: 57.35, eps: 0.01, lr: 2.00e-04, pred: 327.98 min
Ep.: 53500, Score:   6.04, P_win: 0.76, Tran: 58.26, eps: 0.01, lr: 2.00e-04, pred: 324.60 min
Ep.: 54000, Score:   6.11, P_win: 0.79, Tran: 56.35, eps: 0.01, lr: 2.00e-04, pred: 321.25 min
Ep.: 54500, Score:   6.26, P_win: 0.76, Tran: 55.16, eps: 0.01, lr: 2.00e-04, pred: 317.91 min
Ep.: 55000, Score:   5.93, P_win: 0.75, Tran: 56.34, eps: 0.01, lr: 2.00e-04, pred: 314.53 min
Ep.: 55500, Score:   6.26, P_win: 0.84, Tran: 51.89, eps: 0.01, lr: 2.00e-04, pred: 311.16 min
Ep.: 56000, Score:   6.33, P_win: 0.72, Tran: 57.76, eps: 0.01, lr: 2.00e-04, pred: 307.85 min
Ep.: 56500, Score:   6.78, P_win: 0.74, Tran: 56.20, eps: 0.01, lr: 2.00e-04, pred: 304.49 min
Ep.: 57000, Score:   6.46, P_win: 0.80, Tran: 54.07, eps: 0.01, lr: 2.00e-04, pred: 301.08 min
Ep.: 57500, Score:   6.58, P_win: 0.75, Tran: 54.82, eps: 0.01, lr: 2.00e-04, pred: 297.74 min
Ep.: 58000, Score:   6.71, P_win: 0.82, Tran: 55.92, eps: 0.01, lr: 2.00e-04, pred: 294.36 min
Ep.: 58500, Score:   5.89, P_win: 0.78, Tran: 53.10, eps: 0.01, lr: 2.00e-04, pred: 290.98 min
Ep.: 59000, Score:   6.09, P_win: 0.70, Tran: 58.41, eps: 0.01, lr: 2.00e-04, pred: 287.62 min
Ep.: 59500, Score:   6.69, P_win: 0.85, Tran: 53.52, eps: 0.01, lr: 2.00e-04, pred: 284.21 min
Ep.: 60000, Score:   6.37, P_win: 0.80, Tran: 54.52, eps: 0.01, lr: 2.00e-04, pred: 280.77 min
Ep.: 60500, Score:   6.01, P_win: 0.84, Tran: 50.90, eps: 0.01, lr: 2.00e-04, pred: 277.40 min
Ep.: 61000, Score:   5.47, P_win: 0.74, Tran: 57.14, eps: 0.01, lr: 2.00e-04, pred: 273.95 min
Ep.: 61500, Score:   5.61, P_win: 0.76, Tran: 56.31, eps: 0.01, lr: 2.00e-04, pred: 270.54 min
Ep.: 62000, Score:   6.25, P_win: 0.78, Tran: 55.31, eps: 0.01, lr: 2.00e-04, pred: 267.19 min
Ep.: 62500, Score:   5.93, P_win: 0.84, Tran: 53.50, eps: 0.01, lr: 2.00e-04, pred: 263.83 min
Ep.: 63000, Score:   6.70, P_win: 0.86, Tran: 53.29, eps: 0.01, lr: 2.00e-04, pred: 260.45 min
Ep.: 63500, Score:   6.87, P_win: 0.77, Tran: 55.71, eps: 0.01, lr: 2.00e-04, pred: 257.04 min
Ep.: 64000, Score:   6.24, P_win: 0.79, Tran: 54.87, eps: 0.01, lr: 2.00e-04, pred: 253.68 min
Ep.: 64500, Score:   6.36, P_win: 0.82, Tran: 53.66, eps: 0.01, lr: 2.00e-04, pred: 250.30 min
Ep.: 65000, Score:   6.30, P_win: 0.85, Tran: 54.24, eps: 0.01, lr: 2.00e-04, pred: 246.88 min
Ep.: 65500, Score:   6.81, P_win: 0.71, Tran: 58.31, eps: 0.01, lr: 2.00e-04, pred: 243.46 min
Ep.: 66000, Score:   6.36, P_win: 0.77, Tran: 58.43, eps: 0.01, lr: 2.00e-04, pred: 240.09 min
Ep.: 66500, Score:   6.83, P_win: 0.82, Tran: 54.32, eps: 0.01, lr: 2.00e-04, pred: 236.69 min
Ep.: 67000, Score:   6.88, P_win: 0.84, Tran: 52.37, eps: 0.01, lr: 2.00e-04, pred: 233.25 min
Ep.: 67500, Score:   6.67, P_win: 0.78, Tran: 58.01, eps: 0.01, lr: 2.00e-04, pred: 229.85 min
Ep.: 68000, Score:   6.29, P_win: 0.77, Tran: 54.37, eps: 0.01, lr: 2.00e-04, pred: 226.41 min
Ep.: 68500, Score:   7.02, P_win: 0.72, Tran: 55.93, eps: 0.01, lr: 2.00e-04, pred: 222.97 min
Ep.: 69000, Score:   6.47, P_win: 0.87, Tran: 52.11, eps: 0.01, lr: 2.00e-04, pred: 219.56 min
Ep.: 69500, Score:   7.21, P_win: 0.82, Tran: 56.42, eps: 0.01, lr: 2.00e-04, pred: 216.08 min
Ep.: 70000, Score:   6.56, P_win: 0.81, Tran: 52.81, eps: 0.01, lr: 2.00e-04, pred: 212.61 min
Ep.: 70500, Score:   6.07, P_win: 0.67, Tran: 58.74, eps: 0.01, lr: 2.00e-04, pred: 209.18 min
Ep.: 71000, Score:   6.41, P_win: 0.76, Tran: 56.48, eps: 0.01, lr: 2.00e-04, pred: 205.77 min
Ep.: 71500, Score:   5.75, P_win: 0.71, Tran: 56.68, eps: 0.01, lr: 2.00e-04, pred: 202.33 min
Ep.: 72000, Score:   6.22, P_win: 0.75, Tran: 59.14, eps: 0.01, lr: 2.00e-04, pred: 198.91 min
Ep.: 72500, Score:   6.86, P_win: 0.83, Tran: 50.70, eps: 0.01, lr: 2.00e-04, pred: 195.44 min
Ep.: 73000, Score:   5.85, P_win: 0.77, Tran: 56.17, eps: 0.01, lr: 2.00e-04, pred: 192.01 min
Ep.: 73500, Score:   6.46, P_win: 0.80, Tran: 53.80, eps: 0.01, lr: 2.00e-04, pred: 188.56 min
Ep.: 74000, Score:   6.46, P_win: 0.78, Tran: 57.81, eps: 0.00, lr: 2.00e-04, pred: 185.09 min
Ep.: 74500, Score:   6.22, P_win: 0.83, Tran: 53.25, eps: 0.00, lr: 2.00e-04, pred: 181.59 min
Ep.: 75000, Score:   6.78, P_win: 0.84, Tran: 54.15, eps: 0.00, lr: 2.00e-04, pred: 178.14 min
Ep.: 75500, Score:   6.80, P_win: 0.82, Tran: 54.17, eps: 0.00, lr: 2.00e-04, pred: 174.66 min
Ep.: 76000, Score:   7.11, P_win: 0.83, Tran: 52.17, eps: 0.00, lr: 2.00e-04, pred: 171.18 min
Ep.: 76500, Score:   6.93, P_win: 0.77, Tran: 55.51, eps: 0.00, lr: 2.00e-04, pred: 167.72 min
Ep.: 77000, Score:   6.12, P_win: 0.86, Tran: 52.23, eps: 0.00, lr: 2.00e-04, pred: 164.25 min
Ep.: 77500, Score:   6.78, P_win: 0.84, Tran: 54.69, eps: 0.00, lr: 2.00e-04, pred: 160.75 min
Ep.: 78000, Score:   6.62, P_win: 0.84, Tran: 53.46, eps: 0.00, lr: 2.00e-04, pred: 157.24 min
Ep.: 78500, Score:   6.74, P_win: 0.79, Tran: 55.85, eps: 0.00, lr: 2.00e-04, pred: 153.72 min
Ep.: 79000, Score:   6.83, P_win: 0.83, Tran: 53.05, eps: 0.00, lr: 2.00e-04, pred: 150.22 min
Ep.: 79500, Score:   7.08, P_win: 0.91, Tran: 49.89, eps: 0.00, lr: 2.00e-04, pred: 146.72 min
Ep.: 80000, Score:   7.05, P_win: 0.78, Tran: 50.97, eps: 0.00, lr: 2.00e-04, pred: 143.21 min
Ep.: 80500, Score:   5.52, P_win: 0.83, Tran: 54.90, eps: 0.00, lr: 2.00e-04, pred: 139.70 min
Ep.: 81000, Score:   5.43, P_win: 0.79, Tran: 50.22, eps: 0.00, lr: 2.00e-04, pred: 136.16 min
Ep.: 81500, Score:   6.72, P_win: 0.78, Tran: 54.85, eps: 0.00, lr: 2.00e-04, pred: 132.63 min
Ep.: 82000, Score:   6.37, P_win: 0.77, Tran: 55.61, eps: 0.00, lr: 2.00e-04, pred: 129.11 min
Ep.: 82500, Score:   6.41, P_win: 0.73, Tran: 56.07, eps: 0.00, lr: 2.00e-04, pred: 125.58 min
Ep.: 83000, Score:   6.44, P_win: 0.80, Tran: 56.05, eps: 0.00, lr: 2.00e-04, pred: 122.06 min
Ep.: 83500, Score:   6.10, P_win: 0.74, Tran: 57.88, eps: 0.00, lr: 2.00e-04, pred: 118.55 min
Ep.: 84000, Score:   6.46, P_win: 0.77, Tran: 57.68, eps: 0.00, lr: 2.00e-04, pred: 115.02 min
Ep.: 84500, Score:   6.38, P_win: 0.87, Tran: 50.75, eps: 0.00, lr: 2.00e-04, pred: 111.49 min
Ep.: 85000, Score:   6.64, P_win: 0.73, Tran: 54.95, eps: 0.00, lr: 2.00e-04, pred: 107.96 min
Ep.: 85500, Score:   6.47, P_win: 0.81, Tran: 52.46, eps: 0.00, lr: 2.00e-04, pred: 104.41 min
Ep.: 86000, Score:   6.92, P_win: 0.77, Tran: 56.41, eps: 0.00, lr: 2.00e-04, pred: 100.85 min
Ep.: 86500, Score:   7.01, P_win: 0.86, Tran: 53.76, eps: 0.00, lr: 2.00e-04, pred: 97.30 min
Ep.: 87000, Score:   7.00, P_win: 0.80, Tran: 53.27, eps: 0.00, lr: 2.00e-04, pred: 93.75 min
Ep.: 87500, Score:   6.46, P_win: 0.82, Tran: 50.96, eps: 0.00, lr: 2.00e-04, pred: 90.19 min
Ep.: 88000, Score:   6.76, P_win: 0.80, Tran: 54.27, eps: 0.00, lr: 2.00e-04, pred: 86.63 min
Ep.: 88500, Score:   5.95, P_win: 0.82, Tran: 54.37, eps: 0.00, lr: 2.00e-04, pred: 83.07 min
Ep.: 89000, Score:   6.91, P_win: 0.78, Tran: 53.72, eps: 0.00, lr: 2.00e-04, pred: 79.50 min
Ep.: 89500, Score:   7.03, P_win: 0.77, Tran: 53.78, eps: 0.00, lr: 2.00e-04, pred: 75.92 min
Ep.: 90000, Score:   7.04, P_win: 0.81, Tran: 50.58, eps: 0.00, lr: 2.00e-04, pred: 72.34 min
Ep.: 90500, Score:   5.78, P_win: 0.75, Tran: 55.29, eps: 0.00, lr: 1.00e-04, pred: 68.68 min
Ep.: 91000, Score:   5.80, P_win: 0.75, Tran: 54.14, eps: 0.00, lr: 1.00e-04, pred: 65.03 min
Ep.: 91500, Score:   5.53, P_win: 0.76, Tran: 54.40, eps: 0.00, lr: 1.00e-04, pred: 61.39 min
Ep.: 92000, Score:   5.98, P_win: 0.75, Tran: 56.66, eps: 0.00, lr: 1.00e-04, pred: 57.74 min
Ep.: 92500, Score:   6.43, P_win: 0.75, Tran: 54.32, eps: 0.00, lr: 1.00e-04, pred: 54.09 min
Ep.: 93000, Score:   6.49, P_win: 0.73, Tran: 54.69, eps: 0.00, lr: 1.00e-04, pred: 50.46 min
Ep.: 93500, Score:   5.97, P_win: 0.71, Tran: 55.84, eps: 0.00, lr: 1.00e-04, pred: 46.84 min
Ep.: 94000, Score:   6.56, P_win: 0.77, Tran: 53.14, eps: 0.00, lr: 1.00e-04, pred: 43.20 min
Ep.: 94500, Score:   6.79, P_win: 0.75, Tran: 55.86, eps: 0.00, lr: 1.00e-04, pred: 39.58 min
Ep.: 95000, Score:   6.64, P_win: 0.83, Tran: 51.01, eps: 0.00, lr: 1.00e-04, pred: 35.96 min
Ep.: 95500, Score:   6.67, P_win: 0.81, Tran: 54.70, eps: 0.00, lr: 5.00e-05, pred: 32.35 min
Ep.: 96000, Score:   7.39, P_win: 0.84, Tran: 48.47, eps: 0.00, lr: 5.00e-05, pred: 28.74 min
Ep.: 96500, Score:   7.03, P_win: 0.85, Tran: 51.62, eps: 0.00, lr: 5.00e-05, pred: 25.13 min
Ep.: 97000, Score:   7.01, P_win: 0.81, Tran: 52.99, eps: 0.00, lr: 5.00e-05, pred: 21.53 min
Ep.: 97500, Score:   7.59, P_win: 0.86, Tran: 51.59, eps: 0.00, lr: 5.00e-05, pred: 17.93 min
Ep.: 98000, Score:   7.59, P_win: 0.85, Tran: 54.33, eps: 0.00, lr: 5.00e-05, pred: 14.34 min
Ep.: 98500, Score:   7.96, P_win: 0.89, Tran: 50.64, eps: 0.00, lr: 5.00e-05, pred: 10.75 min
Ep.: 99000, Score:   7.76, P_win: 0.84, Tran: 50.72, eps: 0.00, lr: 5.00e-05, pred:  7.16 min
Ep.: 99500, Score:   7.31, P_win: 0.87, Tran: 50.42, eps: 0.00, lr: 5.00e-05, pred:  3.57 min
~~~ Training Complete ~~~
DONE!
