~~~ Starting Training ~~~
Ep.: 32000, Score:  -0.95, P_win: 0.15, Tran: 90.74, eps: 0.04, lr: 5.00e-05, pred: 120.95 min
Ep.: 32500, Score:  -1.26, P_win: 0.21, Tran: 88.38, eps: 0.04, lr: 5.00e-05, pred: 116.55 min
Ep.: 33000, Score:  -0.12, P_win: 0.19, Tran: 90.95, eps: 0.04, lr: 5.00e-05, pred: 112.15 min
Ep.: 33500, Score:  -0.28, P_win: 0.27, Tran: 88.13, eps: 0.04, lr: 5.00e-05, pred: 107.72 min
Ep.: 34000, Score:  -0.29, P_win: 0.12, Tran: 93.21, eps: 0.04, lr: 5.00e-05, pred: 103.29 min
Ep.: 34500, Score:  -1.82, P_win: 0.14, Tran: 93.37, eps: 0.04, lr: 5.00e-05, pred: 98.88 min
Ep.: 35000, Score:  -0.79, P_win: 0.20, Tran: 89.44, eps: 0.03, lr: 5.00e-05, pred: 94.37 min
Ep.: 35500, Score:  -1.94, P_win: 0.15, Tran: 85.56, eps: 0.03, lr: 5.00e-05, pred: 89.82 min
Ep.: 36000, Score:  -1.92, P_win: 0.17, Tran: 88.37, eps: 0.03, lr: 5.00e-05, pred: 85.26 min
Ep.: 36500, Score:  -1.09, P_win: 0.14, Tran: 92.42, eps: 0.03, lr: 5.00e-05, pred: 80.75 min
Ep.: 37000, Score:  -0.15, P_win: 0.15, Tran: 90.83, eps: 0.03, lr: 5.00e-05, pred: 76.15 min
Ep.: 37500, Score:  -1.13, P_win: 0.14, Tran: 88.08, eps: 0.03, lr: 5.00e-05, pred: 71.57 min
Ep.: 38000, Score:  -1.45, P_win: 0.10, Tran: 92.75, eps: 0.03, lr: 5.00e-05, pred: 66.96 min
Ep.: 38500, Score:  -1.61, P_win: 0.14, Tran: 88.70, eps: 0.03, lr: 5.00e-05, pred: 62.31 min
Ep.: 39000, Score:  -1.60, P_win: 0.12, Tran: 93.80, eps: 0.03, lr: 5.00e-05, pred: 57.67 min
Ep.: 39500, Score:  -1.30, P_win: 0.13, Tran: 92.93, eps: 0.03, lr: 5.00e-05, pred: 53.00 min
Ep.: 40000, Score:  -0.96, P_win: 0.10, Tran: 94.35, eps: 0.03, lr: 5.00e-05, pred: 48.29 min
Ep.: 40500, Score:  -1.28, P_win: 0.11, Tran: 94.81, eps: 0.03, lr: 5.00e-05, pred: 43.57 min
Ep.: 41000, Score:  -0.46, P_win: 0.05, Tran: 94.76, eps: 0.03, lr: 5.00e-05, pred: 38.82 min
Ep.: 41500, Score:   0.87, P_win: 0.21, Tran: 88.84, eps: 0.03, lr: 5.00e-05, pred: 34.04 min
Ep.: 42000, Score:   0.43, P_win: 0.29, Tran: 82.06, eps: 0.02, lr: 5.00e-05, pred: 29.21 min
Ep.: 42500, Score:   0.33, P_win: 0.30, Tran: 81.03, eps: 0.02, lr: 5.00e-05, pred: 24.38 min
Ep.: 43000, Score:   1.56, P_win: 0.10, Tran: 94.42, eps: 0.02, lr: 5.00e-05, pred: 19.54 min
Ep.: 43500, Score:  -1.10, P_win: 0.16, Tran: 92.40, eps: 0.02, lr: 5.00e-05, pred: 14.68 min
Ep.: 44000, Score:  -0.13, P_win: 0.07, Tran: 95.33, eps: 0.02, lr: 5.00e-05, pred:  9.81 min
Ep.: 44500, Score:  -0.32, P_win: 0.02, Tran: 97.84, eps: 0.02, lr: 5.00e-05, pred:  4.91 min
~~~ Training Complete ~~~
DONE!
