~~~ Starting Training ~~~
Ep.: 35500, Score:   4.65, P_win: 0.48, Tran: 72.55, eps: 0.03, lr: 2.00e-04, pred: 1251.57 min
Ep.: 36000, Score:   4.11, P_win: 0.55, Tran: 68.51, eps: 0.03, lr: 2.00e-04, pred: 1240.66 min
Ep.: 36500, Score:   3.65, P_win: 0.63, Tran: 66.86, eps: 0.03, lr: 2.00e-04, pred: 1229.67 min
Ep.: 37000, Score:   3.65, P_win: 0.63, Tran: 65.76, eps: 0.03, lr: 2.00e-04, pred: 1218.66 min
Ep.: 37500, Score:   4.18, P_win: 0.58, Tran: 67.49, eps: 0.03, lr: 2.00e-04, pred: 1207.52 min
Ep.: 38000, Score:   3.57, P_win: 0.61, Tran: 62.81, eps: 0.03, lr: 2.00e-04, pred: 1196.38 min
Ep.: 38500, Score:   4.06, P_win: 0.62, Tran: 67.45, eps: 0.03, lr: 2.00e-04, pred: 1185.51 min
Ep.: 39000, Score:   3.84, P_win: 0.63, Tran: 64.92, eps: 0.03, lr: 2.00e-04, pred: 1174.58 min
Ep.: 39500, Score:   4.42, P_win: 0.64, Tran: 65.09, eps: 0.03, lr: 2.00e-04, pred: 1163.55 min
Ep.: 40000, Score:   3.29, P_win: 0.63, Tran: 60.03, eps: 0.03, lr: 2.00e-04, pred: 1152.46 min
Ep.: 40500, Score:   4.33, P_win: 0.54, Tran: 68.38, eps: 0.03, lr: 2.00e-04, pred: 1141.24 min
Ep.: 41000, Score:   4.28, P_win: 0.63, Tran: 67.57, eps: 0.03, lr: 2.00e-04, pred: 1130.11 min
Ep.: 41500, Score:   4.52, P_win: 0.70, Tran: 64.22, eps: 0.03, lr: 2.00e-04, pred: 1118.99 min
Ep.: 42000, Score:   4.26, P_win: 0.65, Tran: 63.42, eps: 0.02, lr: 2.00e-04, pred: 1107.76 min
Ep.: 42500, Score:   3.96, P_win: 0.72, Tran: 63.00, eps: 0.02, lr: 2.00e-04, pred: 1096.38 min
Ep.: 43000, Score:   4.30, P_win: 0.60, Tran: 65.71, eps: 0.02, lr: 2.00e-04, pred: 1084.97 min
